animal_type,month,year,intake_type,outcome_type,chip_status,time_at_shelter
DOG,7,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
CAT,5,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
DOG,4,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,10
DOG,8,2017,STRAY,ADOPTION,SCAN NO CHIP,10
DOG,6,2017,STRAY,EUTHANIZED,SCAN NO CHIP,13
DOG,9,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,8
DOG,3,2017,STRAY,EUTHANIZED,SCAN NO CHIP,5
CAT,10,2016,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,29
DOG,5,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,1
DOG,3,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,3
DOG,6,2017,STRAY,EUTHANIZED,SCAN NO CHIP,11
DOG,7,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,1
CAT,9,2017,STRAY,EUTHANIZED,UNABLE TO SCAN,0
DOG,4,2017,STRAY,RETURNED TO OWNER,SCAN CHIP,0
DOG,11,2016,STRAY,RETURNED TO OWNER,SCAN NO CHIP,1
DOG,4,2017,STRAY,ADOPTION,SCAN NO CHIP,6
CAT,1,2017,STRAY,EUTHANIZED,SCAN NO CHIP,1
DOG,3,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,4,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,14
DOG,7,2017,STRAY,ADOPTION,SCAN CHIP,10
DOG,10,2016,STRAY,ADOPTION,SCAN NO CHIP,7
CAT,4,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,12,2016,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,1
DOG,11,2016,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
DOG,10,2016,STRAY,ADOPTION,SCAN NO CHIP,4
DOG,10,2016,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
DOG,8,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,15
CAT,11,2016,STRAY,ADOPTION,SCAN NO CHIP,4
DOG,7,2017,STRAY,RETURNED TO OWNER,SCAN CHIP,0
DOG,7,2017,STRAY,EUTHANIZED,SCAN NO CHIP,12
DOG,7,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,6,2017,STRAY,ADOPTION,SCAN CHIP,15
DOG,3,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,4
DOG,6,2017,STRAY,EUTHANIZED,SCAN NO CHIP,12
DOG,6,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,4,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
CAT,5,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,12,2016,STRAY,ADOPTION,SCAN NO CHIP,13
CAT,5,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,10,2016,OWNER SURRENDER,ADOPTION,SCAN CHIP,1
DOG,5,2017,STRAY,ADOPTION,SCAN NO CHIP,7
DOG,11,2016,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,17
CAT,7,2017,STRAY,FOSTER,SCAN NO CHIP,0
DOG,4,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,9,2017,STRAY,DIED,SCAN NO CHIP,4
CAT,6,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,27
DOG,6,2017,STRAY,ADOPTION,SCAN NO CHIP,8
DOG,12,2016,STRAY,ADOPTION,SCAN NO CHIP,5
DOG,12,2016,STRAY,ADOPTION,SCAN NO CHIP,7
DOG,2,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,0
DOG,12,2016,STRAY,RETURNED TO OWNER,SCAN CHIP,0
DOG,7,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,2
DOG,8,2017,STRAY,ADOPTION,SCAN NO CHIP,14
DOG,1,2017,STRAY,ADOPTION,SCAN NO CHIP,11
CAT,1,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,1,2017,STRAY,RETURNED TO OWNER,SCAN CHIP,0
DOG,9,2017,STRAY,ADOPTION,SCAN NO CHIP,11
DOG,11,2016,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,4
WILDLIFE,3,2017,STRAY,EUTHANIZED,UNABLE TO SCAN,0
DOG,3,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
DOG,12,2016,STRAY,ADOPTION,SCAN NO CHIP,13
DOG,2,2017,CONFISCATED,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,6,2017,CONFISCATED,RETURNED TO OWNER,SCAN NO CHIP,1
DOG,11,2016,STRAY,ADOPTION,SCAN NO CHIP,4
CAT,11,2016,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,9,2017,STRAY,EUTHANIZED,SCAN NO CHIP,11
DOG,7,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,9,2017,STRAY,ADOPTION,SCAN NO CHIP,10
DOG,7,2017,STRAY,RETURNED TO OWNER,SCAN CHIP,0
DOG,10,2016,STRAY,ADOPTION,SCAN NO CHIP,49
CAT,8,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,4,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,11
DOG,3,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,24
DOG,7,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,1
DOG,10,2016,CONFISCATED,RETURNED TO OWNER,SCAN NO CHIP,11
DOG,6,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,13
DOG,1,2017,STRAY,ADOPTION,SCAN NO CHIP,7
DOG,10,2016,CONFISCATED,EUTHANIZED,SCAN NO CHIP,18
CAT,6,2017,STRAY,ADOPTION,SCAN NO CHIP,4
DOG,7,2017,STRAY,FOSTER,SCAN NO CHIP,4
DOG,6,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
CAT,5,2017,STRAY,FOSTER,SCAN NO CHIP,5
DOG,5,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,9,2017,STRAY,ADOPTION,SCAN NO CHIP,8
DOG,1,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,1
DOG,11,2016,STRAY,RETURNED TO OWNER,UNABLE TO SCAN,0
DOG,11,2016,STRAY,EUTHANIZED,SCAN NO CHIP,13
DOG,4,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,1
DOG,7,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,2
DOG,12,2016,STRAY,ADOPTION,SCAN NO CHIP,5
DOG,8,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,7
DOG,7,2017,STRAY,ADOPTION,SCAN NO CHIP,5
DOG,1,2017,STRAY,ADOPTION,SCAN CHIP,17
CAT,6,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,14
DOG,7,2017,STRAY,ADOPTION,SCAN NO CHIP,16
DOG,1,2017,STRAY,RETURNED TO OWNER,SCAN CHIP,1
CAT,9,2017,STRAY,FOSTER,SCAN NO CHIP,0
DOG,11,2016,STRAY,ADOPTION,UNABLE TO SCAN,5
DOG,6,2017,STRAY,ADOPTION,SCAN NO CHIP,6
CAT,7,2017,STRAY,ADOPTION,SCAN NO CHIP,6
CAT,7,2017,STRAY,EUTHANIZED,SCAN NO CHIP,6
DOG,11,2016,STRAY,ADOPTION,SCAN NO CHIP,4
DOG,1,2017,STRAY,EUTHANIZED,UNABLE TO SCAN,4
DOG,8,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,8
CAT,8,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
CAT,3,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,2
DOG,4,2017,STRAY,EUTHANIZED,SCAN NO CHIP,9
DOG,8,2017,STRAY,RETURNED TO OWNER,SCAN CHIP,2
DOG,2,2017,STRAY,ADOPTION,SCAN NO CHIP,11
DOG,8,2017,STRAY,EUTHANIZED,SCAN NO CHIP,10
DOG,1,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,1
DOG,5,2017,STRAY,ADOPTION,SCAN NO CHIP,4
DOG,7,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,10,2016,STRAY,RETURNED TO OWNER,SCAN CHIP,0
CAT,2,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
CAT,8,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,5,2017,STRAY,RETURNED TO OWNER,SCAN CHIP,2
DOG,7,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,4
CAT,8,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
DOG,12,2016,OWNER SURRENDER,ADOPTION,SCAN CHIP,0
DOG,11,2016,CONFISCATED,ADOPTION,SCAN NO CHIP,15
CAT,2,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,0
DOG,8,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
CAT,8,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,3,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
DOG,10,2016,STRAY,ADOPTION,SCAN NO CHIP,5
CAT,1,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,6
DOG,10,2016,STRAY,EUTHANIZED,SCAN CHIP,22
DOG,12,2016,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
DOG,11,2016,STRAY,ADOPTION,SCAN NO CHIP,8
DOG,8,2017,CONFISCATED,RETURNED TO OWNER,SCAN CHIP,0
CAT,1,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,1
DOG,6,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,12,2016,STRAY,ADOPTION,SCAN NO CHIP,9
DOG,10,2016,STRAY,RETURNED TO OWNER,SCAN NO CHIP,1
DOG,9,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,3,2017,STRAY,RETURNED TO OWNER,SCAN CHIP,1
DOG,6,2017,STRAY,DIED,SCAN CHIP,0
DOG,6,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,1
CAT,8,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,12
CAT,9,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,2
DOG,2,2017,STRAY,ADOPTION,SCAN NO CHIP,6
DOG,8,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,8
DOG,9,2017,STRAY,EUTHANIZED,SCAN NO CHIP,10
DOG,11,2016,STRAY,ADOPTION,SCAN NO CHIP,6
DOG,5,2017,CONFISCATED,EUTHANIZED,UNABLE TO SCAN,17
DOG,6,2017,STRAY,ADOPTION,SCAN NO CHIP,10
DOG,5,2017,STRAY,EUTHANIZED,UNABLE TO SCAN,4
DOG,3,2017,STRAY,ADOPTION,SCAN NO CHIP,6
CAT,8,2017,OWNER SURRENDER,EUTHANIZED,UNABLE TO SCAN,0
CAT,12,2016,OWNER SURRENDER,ADOPTION,SCAN CHIP,2
DOG,9,2017,STRAY,ADOPTION,SCAN NO CHIP,11
DOG,11,2016,OWNER SURRENDER,ADOPTION,SCAN CHIP,6
DOG,1,2017,STRAY,DIED,SCAN NO CHIP,37
CAT,10,2016,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,78
DOG,3,2017,STRAY,RETURNED TO OWNER,SCAN CHIP,3
CAT,7,2017,STRAY,FOSTER,SCAN NO CHIP,8
DOG,6,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,2,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,7
DOG,6,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,1
CAT,7,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
CAT,4,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,14
DOG,10,2016,STRAY,ADOPTION,SCAN NO CHIP,4
DOG,12,2016,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,19
DOG,3,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,2
DOG,3,2017,STRAY,ADOPTION,SCAN NO CHIP,20
DOG,6,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,8,2017,STRAY,RETURNED TO OWNER,SCAN CHIP,5
DOG,9,2017,STRAY,ADOPTION,SCAN NO CHIP,5
DOG,11,2016,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,19
DOG,10,2016,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,1,2017,STRAY,ADOPTION,SCAN CHIP,10
DOG,3,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,1
CAT,12,2016,STRAY,ADOPTION,SCAN NO CHIP,29
DOG,2,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,1
DOG,11,2016,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,2
DOG,5,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,3,2017,STRAY,ADOPTION,SCAN CHIP,16
DOG,4,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,7
DOG,8,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,7,2017,STRAY,ADOPTION,SCAN NO CHIP,20
CAT,11,2016,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
DOG,4,2017,STRAY,ADOPTION,SCAN NO CHIP,5
DOG,4,2017,CONFISCATED,RETURNED TO OWNER,SCAN CHIP,12
DOG,11,2016,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,4
DOG,7,2017,STRAY,ADOPTION,SCAN NO CHIP,17
DOG,6,2017,OWNER SURRENDER,EUTHANIZED,UNABLE TO SCAN,1
CAT,6,2017,STRAY,ADOPTION,SCAN NO CHIP,4
BIRD,4,2017,OWNER SURRENDER,EUTHANIZED,UNABLE TO SCAN,0
DOG,2,2017,STRAY,ADOPTION,SCAN NO CHIP,13
DOG,5,2017,STRAY,ADOPTION,SCAN NO CHIP,7
CAT,6,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,7,2017,STRAY,ADOPTION,SCAN NO CHIP,7
WILDLIFE,10,2016,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,6
DOG,4,2017,STRAY,ADOPTION,SCAN NO CHIP,37
CAT,3,2017,STRAY,FOSTER,SCAN CHIP,14
DOG,6,2017,STRAY,EUTHANIZED,SCAN NO CHIP,18
DOG,11,2016,STRAY,RETURNED TO OWNER,SCAN NO CHIP,1
DOG,5,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,18
DOG,4,2017,STRAY,EUTHANIZED,SCAN NO CHIP,10
DOG,8,2017,STRAY,ADOPTION,SCAN NO CHIP,4
DOG,12,2016,STRAY,ADOPTION,SCAN NO CHIP,4
DOG,5,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,1
DOG,6,2017,STRAY,ADOPTION,SCAN NO CHIP,13
DOG,12,2016,STRAY,ADOPTION,SCAN NO CHIP,8
DOG,4,2017,OWNER SURRENDER,RETURNED TO OWNER,SCAN NO CHIP,1
DOG,5,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,3
DOG,11,2016,CONFISCATED,EUTHANIZED,SCAN NO CHIP,14
CAT,4,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,6,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,5
DOG,8,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,7
CAT,4,2017,STRAY,DIED,SCAN NO CHIP,1
DOG,9,2017,STRAY,ADOPTION,SCAN NO CHIP,8
DOG,12,2016,OWNER SURRENDER,ADOPTION,SCAN CHIP,5
DOG,1,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,6
CAT,8,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,4
DOG,2,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,1
CAT,9,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,1
DOG,10,2016,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,3,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,8
DOG,5,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,3
CAT,7,2017,STRAY,ADOPTION,SCAN NO CHIP,11
DOG,2,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,7
DOG,10,2016,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,8,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,3,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,2,2017,STRAY,ADOPTION,SCAN NO CHIP,10
DOG,8,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,2
DOG,2,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,1
DOG,6,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
DOG,8,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,6
DOG,5,2017,STRAY,ADOPTION,SCAN NO CHIP,17
DOG,3,2017,STRAY,EUTHANIZED,SCAN CHIP,12
LIVESTOCK,11,2016,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
CAT,7,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,7,2017,OWNER SURRENDER,RETURNED TO OWNER,SCAN CHIP,0
DOG,10,2016,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,2
DOG,8,2017,STRAY,RETURNED TO OWNER,SCAN CHIP,2
DOG,10,2016,STRAY,ADOPTION,SCAN NO CHIP,9
CAT,8,2017,STRAY,EUTHANIZED,UNABLE TO SCAN,0
CAT,9,2017,STRAY,FOSTER,SCAN NO CHIP,5
CAT,6,2017,STRAY,ADOPTION,SCAN NO CHIP,7
DOG,8,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,5,2017,CONFISCATED,EUTHANIZED,SCAN NO CHIP,10
DOG,1,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
DOG,5,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,10
DOG,1,2017,STRAY,FOSTER,SCAN NO CHIP,0
DOG,11,2016,STRAY,ADOPTION,SCAN NO CHIP,19
DOG,8,2017,STRAY,ADOPTION,SCAN NO CHIP,2
CAT,5,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,5,2017,STRAY,EUTHANIZED,SCAN NO CHIP,28
DOG,3,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,10,2016,OWNER SURRENDER,EUTHANIZED,UNABLE TO SCAN,1
DOG,11,2016,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,5,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,8,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,2
DOG,7,2017,STRAY,RETURNED TO OWNER,SCAN CHIP,0
DOG,10,2016,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,2
DOG,6,2017,OWNER SURRENDER,EUTHANIZED,SCAN CHIP,0
DOG,3,2017,STRAY,ADOPTION,SCAN NO CHIP,4
DOG,6,2017,CONFISCATED,EUTHANIZED,SCAN NO CHIP,14
DOG,8,2017,STRAY,ADOPTION,SCAN NO CHIP,6
DOG,12,2016,STRAY,RETURNED TO OWNER,SCAN NO CHIP,4
CAT,11,2016,STRAY,ADOPTION,UNABLE TO SCAN,9
DOG,7,2017,STRAY,ADOPTION,SCAN NO CHIP,8
CAT,5,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,12,2016,OWNER SURRENDER,ADOPTION,SCAN CHIP,21
DOG,9,2017,STRAY,ADOPTION,SCAN NO CHIP,8
DOG,3,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
CAT,2,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,2
CAT,5,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,3,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,4,2017,OWNER SURRENDER,EUTHANIZED,UNABLE TO SCAN,2
DOG,6,2017,STRAY,RETURNED TO OWNER,UNABLE TO SCAN,0
DOG,7,2017,STRAY,ADOPTION,SCAN NO CHIP,38
DOG,12,2016,STRAY,RETURNED TO OWNER,SCAN NO CHIP,2
DOG,6,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,1
DOG,4,2017,STRAY,ADOPTION,SCAN NO CHIP,9
DOG,1,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
CAT,5,2017,STRAY,FOSTER,SCAN NO CHIP,8
DOG,7,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,4
CAT,6,2017,STRAY,ADOPTION,SCAN NO CHIP,35
DOG,11,2016,CONFISCATED,ADOPTION,SCAN NO CHIP,10
DOG,10,2016,STRAY,ADOPTION,SCAN NO CHIP,4
DOG,5,2017,STRAY,ADOPTION,SCAN NO CHIP,7
