animal_type,month,year,intake_type,outcome_type,chip_status,time_at_shelter
CAT,5,2017,STRAY,FOSTER,SCAN NO CHIP,0
DOG,10,2016,STRAY,EUTHANIZED,SCAN CHIP,35
DOG,12,2016,STRAY,ADOPTION,SCAN NO CHIP,9
DOG,11,2016,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
DOG,6,2017,STRAY,ADOPTION,SCAN NO CHIP,7
DOG,6,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,5,2017,STRAY,EUTHANIZED,SCAN NO CHIP,11
DOG,1,2017,STRAY,ADOPTION,SCAN NO CHIP,12
DOG,9,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,8
CAT,10,2016,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,2
DOG,5,2017,STRAY,ADOPTION,SCAN NO CHIP,8
DOG,7,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,6,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
CAT,7,2017,STRAY,ADOPTION,SCAN NO CHIP,40
DOG,5,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,6,2017,STRAY,ADOPTION,SCAN NO CHIP,4
DOG,7,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,10,2016,STRAY,ADOPTION,SCAN NO CHIP,4
CAT,3,2017,STRAY,FOSTER,SCAN NO CHIP,0
CAT,6,2017,OWNER SURRENDER,EUTHANIZED,SCAN CHIP,0
DOG,3,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
CAT,1,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,2
DOG,7,2017,STRAY,ADOPTION,SCAN NO CHIP,8
DOG,5,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,9,2017,STRAY,EUTHANIZED,SCAN NO CHIP,6
DOG,10,2016,OWNER SURRENDER,ADOPTION,SCAN CHIP,0
DOG,3,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,15
DOG,11,2016,OWNER SURRENDER,EUTHANIZED,SCAN CHIP,14
CAT,9,2017,STRAY,EUTHANIZED,SCAN NO CHIP,5
DOG,5,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,4
DOG,5,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,9,2017,STRAY,RETURNED TO OWNER,UNABLE TO SCAN,0
DOG,12,2016,STRAY,ADOPTION,SCAN NO CHIP,4
DOG,2,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,9,2017,OWNER SURRENDER,EUTHANIZED,UNABLE TO SCAN,9
DOG,7,2017,STRAY,RETURNED TO OWNER,SCAN CHIP,1
DOG,2,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,5
WILDLIFE,11,2016,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,4
CAT,7,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
DOG,1,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,5
DOG,3,2017,STRAY,ADOPTION,SCAN NO CHIP,5
DOG,2,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,7,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,8
WILDLIFE,7,2017,STRAY,ADOPTION,SCAN NO CHIP,4
DOG,6,2017,STRAY,ADOPTION,SCAN NO CHIP,32
DOG,4,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,5,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,2
CAT,2,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,5
DOG,10,2016,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
DOG,12,2016,STRAY,ADOPTION,SCAN NO CHIP,28
DOG,10,2016,STRAY,RETURNED TO OWNER,SCAN NO CHIP,1
DOG,9,2017,STRAY,ADOPTION,SCAN NO CHIP,4
DOG,2,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,3
CAT,8,2017,STRAY,ADOPTION,SCAN NO CHIP,14
DOG,11,2016,STRAY,EUTHANIZED,SCAN NO CHIP,6
CAT,1,2017,STRAY,ADOPTION,SCAN NO CHIP,6
DOG,10,2016,STRAY,ADOPTION,SCAN NO CHIP,5
WILDLIFE,8,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,3
CAT,2,2017,STRAY,ADOPTION,SCAN NO CHIP,8
CAT,4,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,6
CAT,6,2017,STRAY,EUTHANIZED,SCAN NO CHIP,17
DOG,4,2017,STRAY,ADOPTION,SCAN NO CHIP,5
DOG,6,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,1
DOG,4,2017,STRAY,ADOPTION,SCAN CHIP,10
DOG,3,2017,STRAY,ADOPTION,SCAN NO CHIP,5
DOG,12,2016,OWNER SURRENDER,ADOPTION,SCAN CHIP,2
DOG,6,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,11,2016,STRAY,ADOPTION,SCAN NO CHIP,21
DOG,3,2017,STRAY,ADOPTION,SCAN NO CHIP,4
DOG,7,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,2
CAT,5,2017,STRAY,EUTHANIZED,SCAN NO CHIP,2
CAT,8,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
CAT,7,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,9,2017,STRAY,ADOPTION,SCAN NO CHIP,8
CAT,9,2017,STRAY,ADOPTION,SCAN NO CHIP,6
DOG,3,2017,CONFISCATED,RETURNED TO OWNER,SCAN CHIP,12
DOG,7,2017,STRAY,ADOPTION,SCAN NO CHIP,11
DOG,5,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
DOG,3,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,2
DOG,5,2017,CONFISCATED,RETURNED TO OWNER,SCAN NO CHIP,10
CAT,4,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,1,2017,STRAY,ADOPTION,SCAN NO CHIP,5
DOG,1,2017,STRAY,EUTHANIZED,SCAN NO CHIP,5
CAT,7,2017,STRAY,FOSTER,SCAN NO CHIP,12
DOG,8,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,4
DOG,4,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,10,2016,STRAY,EUTHANIZED,SCAN CHIP,24
DOG,6,2017,OWNER SURRENDER,EUTHANIZED,SCAN CHIP,2
DOG,12,2016,CONFISCATED,RETURNED TO OWNER,SCAN CHIP,8
DOG,3,2017,OWNER SURRENDER,EUTHANIZED,UNABLE TO SCAN,0
DOG,5,2017,OWNER SURRENDER,RETURNED TO OWNER,SCAN CHIP,2
DOG,7,2017,STRAY,ADOPTION,SCAN NO CHIP,6
DOG,6,2017,STRAY,EUTHANIZED,UNABLE TO SCAN,4
DOG,9,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,7,2017,STRAY,EUTHANIZED,SCAN NO CHIP,2
DOG,10,2016,OWNER SURRENDER,ADOPTION,SCAN CHIP,10
DOG,7,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
DOG,9,2017,STRAY,RETURNED TO OWNER,SCAN CHIP,4
CAT,5,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,12
DOG,6,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,7,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,0
DOG,8,2017,CONFISCATED,EUTHANIZED,SCAN CHIP,16
DOG,3,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,4
CAT,5,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,8,2017,STRAY,RETURNED TO OWNER,SCAN CHIP,2
CAT,11,2016,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,1,2017,OWNER SURRENDER,EUTHANIZED,SCAN CHIP,26
DOG,2,2017,STRAY,ADOPTION,SCAN NO CHIP,6
CAT,10,2016,STRAY,ADOPTION,SCAN NO CHIP,12
DOG,7,2017,OWNER SURRENDER,DIED,SCAN NO CHIP,2
DOG,9,2017,STRAY,ADOPTION,SCAN NO CHIP,7
DOG,4,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,6,2017,OWNER SURRENDER,FOSTER,SCAN NO CHIP,3
DOG,2,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,7
DOG,2,2017,CONFISCATED,RETURNED TO OWNER,SCAN NO CHIP,6
DOG,5,2017,STRAY,EUTHANIZED,SCAN NO CHIP,15
DOG,7,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
CAT,1,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,5
DOG,3,2017,STRAY,ADOPTION,SCAN NO CHIP,5
DOG,3,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,8,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
CAT,8,2017,STRAY,FOSTER,SCAN NO CHIP,7
DOG,3,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,8
DOG,5,2017,STRAY,ADOPTION,SCAN NO CHIP,6
CAT,9,2017,STRAY,ADOPTION,SCAN NO CHIP,6
DOG,5,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,5,2017,STRAY,ADOPTION,SCAN NO CHIP,5
DOG,4,2017,OWNER SURRENDER,EUTHANIZED,SCAN CHIP,4
DOG,12,2016,STRAY,RETURNED TO OWNER,SCAN NO CHIP,1
DOG,5,2017,STRAY,RETURNED TO OWNER,UNABLE TO SCAN,0
CAT,9,2017,CONFISCATED,EUTHANIZED,SCAN NO CHIP,11
DOG,7,2017,STRAY,RETURNED TO OWNER,SCAN CHIP,0
CAT,6,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,4,2017,STRAY,ADOPTION,SCAN NO CHIP,7
DOG,8,2017,STRAY,ADOPTION,SCAN NO CHIP,9
DOG,8,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,8
CAT,10,2016,STRAY,FOSTER,SCAN NO CHIP,0
DOG,10,2016,CONFISCATED,RETURNED TO OWNER,SCAN CHIP,10
DOG,5,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,1
DOG,11,2016,STRAY,ADOPTION,SCAN CHIP,16
DOG,3,2017,STRAY,FOSTER,SCAN NO CHIP,3
DOG,6,2017,STRAY,ADOPTION,SCAN NO CHIP,25
DOG,4,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,5
DOG,7,2017,STRAY,RETURNED TO OWNER,SCAN CHIP,1
CAT,7,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,7
DOG,7,2017,CONFISCATED,EUTHANIZED,SCAN NO CHIP,17
DOG,11,2016,STRAY,ADOPTION,SCAN NO CHIP,17
DOG,2,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,6,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,3
CAT,7,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,4,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,10
DOG,6,2017,STRAY,EUTHANIZED,SCAN NO CHIP,10
WILDLIFE,3,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,2
WILDLIFE,10,2016,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,6
DOG,11,2016,OWNER SURRENDER,ADOPTION,SCAN CHIP,1
CAT,2,2017,STRAY,ADOPTION,UNABLE TO SCAN,6
DOG,5,2017,STRAY,EUTHANIZED,SCAN NO CHIP,13
DOG,9,2017,STRAY,EUTHANIZED,SCAN NO CHIP,10
CAT,1,2017,OWNER SURRENDER,ADOPTION,UNABLE TO SCAN,4
DOG,1,2017,STRAY,EUTHANIZED,UNABLE TO SCAN,11
DOG,3,2017,STRAY,ADOPTION,SCAN NO CHIP,23
DOG,12,2016,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
DOG,4,2017,CONFISCATED,EUTHANIZED,SCAN NO CHIP,15
DOG,4,2017,STRAY,ADOPTION,SCAN NO CHIP,5
DOG,11,2016,CONFISCATED,ADOPTION,SCAN NO CHIP,14
DOG,7,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
DOG,2,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,4
DOG,3,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,8
DOG,5,2017,OWNER SURRENDER,EUTHANIZED,SCAN CHIP,8
DOG,9,2017,STRAY,ADOPTION,SCAN CHIP,11
DOG,6,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
CAT,6,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,12,2016,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,1
DOG,8,2017,STRAY,ADOPTION,SCAN NO CHIP,9
CAT,6,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,14
DOG,5,2017,STRAY,ADOPTION,SCAN NO CHIP,7
CAT,7,2017,STRAY,EUTHANIZED,SCAN NO CHIP,25
DOG,3,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,8,2017,STRAY,ADOPTION,SCAN CHIP,10
DOG,7,2017,STRAY,DIED,SCAN NO CHIP,0
CAT,7,2017,STRAY,EUTHANIZED,SCAN NO CHIP,6
DOG,8,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,7
CAT,7,2017,STRAY,FOSTER,SCAN NO CHIP,12
CAT,11,2016,STRAY,ADOPTION,SCAN NO CHIP,6
CAT,6,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
CAT,8,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,4
DOG,3,2017,STRAY,ADOPTION,SCAN NO CHIP,7
DOG,4,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,11,2016,STRAY,RETURNED TO OWNER,SCAN CHIP,3
DOG,6,2017,CONFISCATED,EUTHANIZED,SCAN CHIP,11
CAT,10,2016,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,4,2017,STRAY,ADOPTION,SCAN CHIP,33
DOG,2,2017,OWNER SURRENDER,RETURNED TO OWNER,SCAN CHIP,8
DOG,9,2017,STRAY,ADOPTION,SCAN NO CHIP,5
CAT,10,2016,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,6
CAT,6,2017,STRAY,FOSTER,UNABLE TO SCAN,23
DOG,6,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,8,2017,CONFISCATED,EUTHANIZED,SCAN CHIP,15
DOG,7,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,1
DOG,7,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,10
DOG,7,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
CAT,5,2017,STRAY,FOSTER,SCAN NO CHIP,1
CAT,3,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,5
DOG,10,2016,OWNER SURRENDER,EUTHANIZED,SCAN CHIP,0
DOG,7,2017,STRAY,EUTHANIZED,SCAN NO CHIP,2
CAT,6,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,7
WILDLIFE,4,2017,STRAY,EUTHANIZED,UNABLE TO SCAN,0
CAT,9,2017,STRAY,EUTHANIZED,SCAN NO CHIP,7
CAT,8,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,3
DOG,8,2017,STRAY,ADOPTION,SCAN CHIP,16
DOG,2,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,2
DOG,5,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,5
DOG,7,2017,CONFISCATED,RETURNED TO OWNER,SCAN NO CHIP,3
DOG,12,2016,STRAY,ADOPTION,SCAN NO CHIP,15
DOG,9,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,1
DOG,1,2017,STRAY,ADOPTION,SCAN NO CHIP,20
DOG,3,2017,STRAY,ADOPTION,SCAN NO CHIP,5
DOG,2,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,3
DOG,11,2016,STRAY,RETURNED TO OWNER,SCAN NO CHIP,1
DOG,8,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,1
DOG,7,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,3
DOG,4,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,6
DOG,5,2017,STRAY,ADOPTION,SCAN NO CHIP,4
DOG,8,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,1
DOG,3,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,4,2017,STRAY,ADOPTION,SCAN NO CHIP,13
DOG,9,2017,STRAY,ADOPTION,SCAN NO CHIP,9
DOG,7,2017,STRAY,EUTHANIZED,SCAN CHIP,10
CAT,4,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
DOG,10,2016,STRAY,ADOPTION,SCAN NO CHIP,12
DOG,11,2016,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
CAT,4,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,7,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
CAT,10,2016,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,12,2016,STRAY,RETURNED TO OWNER,SCAN NO CHIP,2
CAT,6,2017,CONFISCATED,RETURNED TO OWNER,SCAN NO CHIP,11
DOG,4,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,4
CAT,5,2017,STRAY,RETURNED TO OWNER,SCAN CHIP,0
DOG,1,2017,STRAY,ADOPTION,SCAN NO CHIP,2
CAT,4,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,1,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,1
DOG,7,2017,STRAY,EUTHANIZED,UNABLE TO SCAN,0
DOG,8,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,5,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,8,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,7,2017,STRAY,RETURNED TO OWNER,UNABLE TO SCAN,0
DOG,5,2017,STRAY,ADOPTION,SCAN NO CHIP,4
DOG,10,2016,CONFISCATED,RETURNED TO OWNER,SCAN NO CHIP,11
CAT,7,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,3,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,2
DOG,11,2016,STRAY,ADOPTION,SCAN NO CHIP,31
DOG,9,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,3
DOG,3,2017,STRAY,EUTHANIZED,SCAN NO CHIP,11
DOG,11,2016,STRAY,ADOPTION,SCAN NO CHIP,10
DOG,7,2017,STRAY,ADOPTION,SCAN CHIP,15
DOG,11,2016,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
DOG,4,2017,STRAY,ADOPTION,SCAN NO CHIP,20
DOG,10,2016,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
CAT,10,2016,STRAY,EUTHANIZED,SCAN CHIP,0
DOG,10,2016,STRAY,ADOPTION,SCAN CHIP,12
DOG,10,2016,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,1
DOG,1,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,1
DOG,9,2017,STRAY,ADOPTION,SCAN NO CHIP,6
DOG,5,2017,CONFISCATED,RETURNED TO OWNER,SCAN NO CHIP,16
DOG,6,2017,STRAY,RETURNED TO OWNER,SCAN CHIP,1
DOG,7,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,9,2017,OWNER SURRENDER,EUTHANIZED,SCAN CHIP,6
DOG,5,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,1
CAT,8,2017,STRAY,ADOPTION,SCAN NO CHIP,6
CAT,10,2016,STRAY,DIED,SCAN NO CHIP,16
DOG,7,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,2,2017,CONFISCATED,RETURNED TO OWNER,SCAN CHIP,10
CAT,6,2017,STRAY,EUTHANIZED,UNABLE TO SCAN,3
CAT,11,2016,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,12,2016,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,11,2016,STRAY,ADOPTION,SCAN NO CHIP,5
DOG,9,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,3,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,1
DOG,12,2016,STRAY,RETURNED TO OWNER,UNABLE TO SCAN,0
DOG,8,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,12,2016,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
DOG,2,2017,CONFISCATED,EUTHANIZED,UNABLE TO SCAN,0
DOG,11,2016,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
WILDLIFE,4,2017,STRAY,ADOPTION,SCAN NO CHIP,4
DOG,6,2017,CONFISCATED,EUTHANIZED,SCAN NO CHIP,14